Symbol,Source,Avg Losing Trade [%],Avg Winning Trade [%],Best Trade [%],Calmar Ratio,End Value,Expectancy,Max Drawdown [%],Omega Ratio,Open Trade PnL,Profit Factor,Sharpe Ratio,Sortino Ratio,Total Closed Trades,Total Fees Paid,Total Open Trades,Total Return [%],Total Trades,Win Rate [%],Worst Trade [%]
ACL,File 1 (vectorbt),-13.581688,40.356707,40.356707,-0.12321,58420.364805,-5939.947885,46.193624,0.719089,,0.419646,-0.434397,-0.626498,,1164.862811,,-41.579635,,14.285714,-17.002763
ACL,File 2 (custom),-12.208903,41.843643,42.580955,0.005854,103446.365392,492.337913,43.621635,1.076274,,1.04083,0.079382,0.042406,,896.12235,,3.446365,,28.571429,-14.178248
OMAXE,File 1 (vectorbt),-4.676016,8.546142,10.568216,0.002704,100366.889968,45.861246,11.377785,1.019837,,1.015212,0.030962,0.040852,,1622.998649,,0.36689,,37.5,-10.266026
OMAXE,File 2 (custom),-4.198049,8.097898,10.539737,-0.045586,88689.439105,-1413.820112,15.218071,0.87693,,0.549738,-0.197074,-0.065343,,728.187696,,-11.310561,,25.0,-9.547198
JWL,File 1 (vectorbt),-14.336941,45.451947,53.787173,0.175704,217316.792016,9776.399335,47.143684,1.181614,,1.834579,0.436869,0.714731,12.0,3279.998689,,117.316792,12.0,41.666667,-24.002474
JWL,File 2 (custom),-13.096281,42.168916,52.030628,0.075587,157792.995089,4128.071078,43.411732,1.137932,,1.329692,0.262215,0.162408,14.0,1961.205049,,57.792995,14.0,35.714286,-21.210099
PRAKASH,File 1 (vectorbt),-13.962224,66.750175,118.067879,0.355527,1075060.80101,69647.200072,45.982847,1.305957,,1.935336,0.634249,1.160165,,24501.350345,,975.060801,,50.0,-17.100336
PRAKASH,File 2 (custom),-12.951762,69.88828,112.926731,0.172272,663187.860699,40227.704336,50.40975,1.373964,,1.788857,0.467338,0.266879,,8253.544752,,563.187861,,42.857143,-15.138188
GOACARBON,File 1 (vectorbt),-12.020992,30.92184,33.47098,0.01051,103843.163496,427.018166,30.843502,1.092897,,1.053154,0.087935,0.154237,,1706.639148,,3.843163,,33.333333,-15.710405
GOACARBON,File 2 (custom),-10.710758,31.228715,39.04077,0.140285,164519.303168,7168.811463,21.341332,1.353245,,1.773387,0.290526,0.099817,,1309.162207,,64.519303,,44.444444,-15.409305
KOTAKBANK,File 1 (vectorbt),-7.421087,27.523576,43.304593,0.073225,151657.291786,2718.804831,38.849635,1.11154,,1.379171,0.270628,0.388958,,5650.501324,,51.657292,,,-17.657272
