symbol,status,load_time_s,indicator_calc_time_s,signal_gen_time_s,portfolio_sim_time_s,total_symbol_time_s,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
AFSL,Success,0.002232700000604382,0.00016529999993508682,0.0009337999999843305,4.3000000005122274e-05,0.004945100000441016,2022-12-23 09:15:00,2025-06-26 09:15:00,916 days 00:00:00,100000.0,118692.672526,18.692673,13.818681,100.0,250.733241,19.975817,346 days 00:00:00,2,2,0,0.0,50.0,32.276252,-9.914195,32.276252,-9.914195,39 days 00:00:00,3 days 00:00:00,2.404726,9346.336263,0.472514,0.360513,1.586528,0.101506
AGARIND,Success,0.005452600000353414,0.00019530000008671777,0.0005673000005117501,3.5200000638724305e-05,0.007868900000175927,2014-05-26 09:15:00,2025-06-26 09:15:00,4049 days 00:00:00,100000.0,314954.784024,214.954784,463.929193,100.0,2787.484102,26.343163,990 days 00:00:00,11,11,0,0.0,45.454545,57.111819,-11.091633,43.177808,-9.573712,72 days 00:00:00,46 days 00:00:00,2.374316,19541.344002,0.695801,0.42227,1.377073,0.556462
AGARWALEYE,Success,0.0017504000006738352,0.00014430000010179356,0.00037880000036238926,2.390000008745119e-05,0.0033322999997835723,2025-02-04 09:15:00,2025-06-26 09:15:00,142 days 00:00:00,100000.0,100000.0,0.0,-0.423254,100.0,0.0,0.0,,0,0,0,0.0,,,,,,,,,,,,,
AGI,Success,0.008902000000489352,0.0002688999993551988,0.0005014999997001723,4.0099999750964344e-05,0.011498900000333379,2009-04-27 09:15:00,2025-06-26 09:15:00,5904 days 00:00:00,100000.0,84273.252643,-15.726747,8313.315322,100.0,1203.763284,54.200789,4776 days 00:00:00,13,13,0,0.0,23.076923,38.201641,-14.178184,33.454028,-9.55831,54 days 00:00:00,20 days 19:12:00,0.832887,-1209.749797,-0.002027,-0.020015,0.998537,-0.000821
AGIIL,Success,0.002054900000075577,0.0001474999999118154,0.0005303999996613129,3.420000030018855e-05,0.0041933000002245535,2024-07-15 09:15:00,2025-06-26 09:15:00,346 days 00:00:00,100000.0,91486.096499,-8.513904,122.034646,100.0,91.540914,17.459348,97 days 00:00:00,1,1,0,0.0,0.0,-8.333882,-8.333882,0.0,-8.333882,0 days 00:00:00,77 days 00:00:00,0.0,-8513.903501,-0.395133,-0.517069,0.845951,-0.298377
AGRITECH,Success,0.0045506999995268416,0.0001747999995131977,0.0005267000005915179,6.639999992330559e-05,0.007274300000062794,2014-01-28 09:15:00,2025-06-26 09:15:00,4167 days 00:00:00,100000.0,225273.791082,125.273791,350.953033,100.0,1799.59924,33.247027,2857 days 00:00:00,8,8,0,0.0,50.0,47.621963,-13.150559,39.222601,-11.515594,49 days 00:00:00,18 days 12:00:00,2.042408,15659.223885,0.562752,0.235137,1.448529,0.348127
AGROPHOS,Success,0.00458119999984774,0.0001916999999593827,0.0010173000000577304,5.18000006195507e-05,0.0075123999995412305,2019-03-08 09:15:00,2025-06-26 09:15:00,2302 days 00:00:00,100000.0,99626.840869,-0.373159,-38.637139,100.0,858.366359,47.331554,1448 days 00:00:00,6,6,0,0.0,33.333333,44.029607,-16.688788,37.955239,-14.620997,41 days 00:00:00,5 days 18:00:00,0.995832,-62.193189,0.056741,-0.001275,1.049851,0.017357
AGSTRA,Success,0.0029612000007546158,0.00020120000044698827,0.00048520000018470455,3.0300000616989564e-05,0.005127800000082061,2022-01-31 09:15:00,2025-06-26 09:15:00,1242 days 00:00:00,100000.0,87262.389657,-12.73761,-97.181,100.0,87.299289,15.065165,254 days 00:00:00,1,1,0,0.0,0.0,-12.569347,-12.569347,0.0,-12.569347,0 days 00:00:00,16 days 00:00:00,0.0,-12737.610343,-0.790965,-0.264311,0.388434,-0.220668
AHLADA,Success,0.003142600000501261,0.000158200000441866,0.0004352000005383161,2.7499999305291567e-05,0.005331500000465894,2021-01-28 09:15:00,2025-06-26 09:15:00,1610 days 00:00:00,100000.0,57048.601957,-42.951398,-0.451569,100.0,284.522167,42.951398,1610 days 00:00:00,4,4,0,0.0,0.0,-12.351799,-13.558421,0.0,-12.930956,0 days 00:00:00,47 days 18:00:00,0.0,-10737.849511,-0.810095,-0.28236,0.683343,-0.519189
AHLEAST,Success,0.007964999999785505,0.00022760000047128415,0.0005906000005779788,4.1599999349273276e-05,0.010446500000398373,2010-08-11 09:15:00,2025-06-26 09:15:00,5433 days 00:00:00,100000.0,87900.152005,-12.099848,-44.762031,100.0,601.402544,43.336483,2624 days 00:00:00,6,6,0,0.0,33.333333,33.338937,-18.616453,25.350506,-13.099374,51 days 12:00:00,83 days 06:00:00,0.790597,-2016.641333,-0.014642,-0.020767,0.991215,-0.007293
