Symbol,Source,Avg Losing Trade [%],Avg Winning Trade [%],Benchmark Return [%],Best Trade [%],Calmar Ratio,End Value,Expectancy,Max Drawdown [%],Max Gross Exposure [%],Omega Ratio,Open Trade PnL,Profit Factor,Sharpe Ratio,Sortino Ratio,Start Value,Total Closed Trades,Total Fees Paid,Total Open Trades,Total Return [%],Total Trades,Win Rate [%],Worst Trade [%]
BANSALWIRE,File 2 (custom),-9.551791,,,-9.551791,-0.379794,90292.877424,-9707.122576,26.76966,,0.854985,,,-0.47564,-0.331401,,,90.122179,,-9.707123,,,-9.551791
BANSWRAS,File 1 (vectorbt),-11.669364,,,-8.65245,-0.069862,64184.506246,-9785.440105,52.669703,,0.892698,3326.266668,,-0.229239,-0.317317,,,684.062012,,-35.815494,,,-13.412371
BANSWRAS,File 2 (custom),-11.557906,,,-8.544006,-0.048723,63977.183588,-9833.92289,52.819654,,0.891823,3312.875148,,-0.192121,-0.082295,,,291.633205,,-36.022816,,,-13.299172
BARBEQUE,File 1 (vectorbt),-8.17127,,,-8.17127,-0.225089,91836.893127,-8163.106873,12.982829,,0.499679,,,-0.615759,-0.718284,,,191.828922,,-8.163107,,,-8.17127
BARBEQUE,File 2 (custom),-8.063307,,,-8.063307,-0.156798,91762.944586,-8237.055414,13.047396,,0.496981,,,-0.515895,-0.091984,,,91.734138,,-8.237055,,,-8.063307
BASF,File 1 (vectorbt),-7.62757,28.899738,,36.612602,0.084186,175729.8695,4207.214972,37.963672,,1.167766,,1.568464,0.306897,0.519989,,,5080.974789,,75.729869,,,-12.588207
BASF,File 2 (custom),-7.396661,27.907272,,31.421828,0.051976,166930.249389,3718.347188,38.358693,,1.154959,,1.524271,0.239334,0.129351,,,2473.800327,,66.930249,,,-12.475832
BASML,File 1 (vectorbt),-11.673122,41.207339,,48.186355,0.259678,273076.0904,24725.155771,30.884035,,1.239181,,2.897652,0.511778,0.812198,,,2991.945269,,173.07609,,,-13.200536
BASML,File 2 (custom),-11.56166,41.265973,,48.238017,0.175729,270929.416584,24418.488083,30.879829,,1.237529,,2.873185,0.422671,0.240528,,,1575.125384,,170.929417,,,-13.087548
BATAINDIA,File 1 (vectorbt),-8.636534,25.584779,,35.798144,-0.033025,71384.621435,-1362.637075,56.408251,,0.965572,,0.807301,-0.060813,-0.09823,,,3984.94904,,-28.615379,,,-22.949559
BATAINDIA,File 2 (custom),-8.528106,23.19812,,35.135165,-0.030428,63667.488728,-1730.119584,56.655066,,0.937566,,0.735077,-0.095517,-0.043704,,,1797.223103,,-36.332511,,,-22.826832
BAYERCROP,File 1 (vectorbt),-7.285701,24.482442,,39.675232,-0.02273,89092.422207,-839.044446,48.184369,,0.984278,,0.87611,-0.032266,-0.050285,,,2996.180945,,-10.907578,,,-11.830207
BAYERCROP,File 2 (custom),-7.178622,24.557785,,39.735396,-0.017024,88223.557228,-905.880213,48.25187,,0.979648,,0.864954,-0.034796,-0.018165,,,1460.27511,,-11.776443,,,-11.718588
BBL,File 1 (vectorbt),-12.31191,27.421837,,32.527219,0.20146,197603.784618,10844.864958,27.588548,,1.286298,,2.224397,0.409844,0.639091,,,2688.101044,,97.603785,,,-15.043808
BBL,File 2 (custom),-12.199811,27.494243,,32.594525,0.135993,195295.699191,10588.411021,27.488313,,1.282701,,2.202266,0.336913,0.127511,,,1377.907737,,95.295699,,,-14.928979
BBOX,File 1 (vectorbt),-12.633539,32.951543,,42.936077,-0.05503,46785.898073,-2534.004854,66.594114,,0.918344,,0.574862,-0.14913,-0.230174,,,2278.168115,,-53.214102,,,-25.205696
BBOX,File 2 (custom),-12.031851,33.018425,,42.992984,-0.035684,50486.806188,-2357.771134,64.247751,,0.929228,,0.605188,-0.106688,-0.04967,,,1175.43804,,-49.513194,,,-20.023319
BBTC,File 1 (vectorbt),-10.20761,31.702097,,40.067571,0.010921,107871.416159,463.02448,38.106938,,1.074009,,1.04502,0.091294,0.161367,,,4567.487149,,7.871416,,,-16.198872
BBTC,File 2 (custom),-9.778185,29.933596,,40.127344,0.003323,103391.998892,199.529347,38.010577,,1.055437,,1.021027,0.057431,0.02401,,,2177.534263,,3.391999,,,-15.337827
BBTCL,File 1 (vectorbt),,21.235547,,21.235547,0.917056,121214.3325,21214.3325,12.562815,,1.595255,,,0.713319,1.75355,,,221.235768,,21.214333,,,21.235547
BBTCL,File 2 (custom),0.0,21.314133,,21.314133,0.618398,121044.341048,21044.341048,12.548141,,1.591471,,,0.59227,0.458923,,,121.035317,,21.044341,,,21.314133
BCLIND,File 1 (vectorbt),-10.522735,,,-8.182277,-0.225177,71566.554149,-9477.815284,47.93742,,0.860273,,,-0.454263,-0.641132,,,500.61361,,-28.433446,,,-14.239835
BCLIND,File 2 (custom),-10.412422,,,-8.074303,-0.158922,71381.789561,-9539.40348,48.071675,,0.859171,,,-0.381023,-0.273048,,,235.893086,,-28.61821,,,-14.125809
BCONCEPTS,File 1 (vectorbt),-15.7417,35.498583,,38.919718,0.257166,130240.659868,7560.164967,28.020021,,1.371533,,1.750316,0.560677,0.878555,,,933.183286,,30.24066,,,-16.068232
BCONCEPTS,File 2 (custom),-12.617183,35.245327,,38.980638,0.240331,138425.193323,9606.298331,25.34115,,1.482689,,2.157411,0.576336,0.24802,,,499.586818,,38.425193,,,-12.783514
BDL,File 1 (vectorbt),-11.487249,29.919343,,32.54964,0.346809,151463.349742,8577.224957,25.355484,,1.302771,,1.811748,0.559993,0.817511,,,1879.656525,,51.46335,,,-16.925245
BDL,File 2 (custom),-9.399936,29.989253,,32.616923,0.283341,161165.340694,10194.223449,24.415318,,1.348792,,2.162483,0.542227,0.253027,,,982.569423,,61.165341,,,-10.880424
BEARDSELL,File 1 (vectorbt),-15.23222,38.21501,,38.21501,-0.002876,99281.557076,-239.480975,39.486374,,1.031056,,0.981529,0.054076,0.084179,,,714.760795,,-0.718443,,,-16.979792
BEARDSELL,File 2 (custom),-15.117202,33.435438,,33.435438,-0.012554,95524.827059,-1491.724314,39.583353,,1.002863,,0.881101,0.004193,0.002031,,,344.122256,,-4.475173,,,-16.863029
BECTORFOOD,File 1 (vectorbt),-9.741564,24.561879,,29.226174,1.132148,174165.56782,18541.391955,17.557614,,1.601512,,4.949845,1.119285,1.859032,,,1216.462038,,74.165568,,,-9.741564
BECTORFOOD,File 2 (custom),-9.632032,24.637142,,29.296777,0.755983,173462.637111,18365.659278,17.501902,,1.59914,,4.927406,0.927346,0.498231,,,642.020235,,73.462637,,,-9.632032
