symbol,status,load_time_s,indicator_calc_time_s,signal_gen_time_s,portfolio_sim_time_s,total_symbol_time_s,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
CONSOFINVT,Success,0.008888399999705143,0.008423100000072736,0.0006235999999262276,0.029630600000018603,0.04775900000004185,2005-03-29 09:15:00,2025-06-26 09:15:00,4698 days 00:00:00,100000.0,52124.676776,-47.875323,324.41208,100.0,1240.437742,64.380739,4006 days 00:00:00,11.0,11.0,0.0,0.0,18.181818,40.733035,-22.253788,35.384609,-12.935804,31 days 12:00:00,39 days 10:40:00,0.38151,-4352.302111,-0.282844,-0.076668,0.873644,-0.397493
CONTROLPR,Success,0.004688199999691278,0.007664599999770871,0.0005646999998134561,0.0303051000000778,0.04341109999950277,2016-06-24 09:15:00,2025-06-26 09:15:00,2230 days 00:00:00,100000.0,175759.642482,75.759642,171.154185,100.0,1204.706591,23.640687,1019 days 00:00:00,5.0,5.0,0.0,0.0,60.0,35.190971,-12.606096,31.044712,-11.520558,93 days 00:00:00,16 days 00:00:00,3.796018,15151.928496,0.597897,0.409039,1.278538,0.958622
CORALFINAC,Success,0.004348399999798858,0.007623299999977462,0.0006147000003693393,0.03037939999921946,0.04316279999966355,2017-03-29 09:15:00,2025-06-26 09:15:00,2041 days 00:00:00,100000.0,115217.762519,15.217763,29.410112,100.0,382.250325,23.569331,756 days 00:00:00,2.0,2.0,0.0,0.0,50.0,38.009302,-16.50801,38.009302,-16.50801,17 days 00:00:00,3 days 00:00:00,1.922763,7608.881259,0.272727,0.108854,1.536775,0.672229
CORDSCABLE,Success,0.008238700000219978,0.008036499999434454,0.0006090999995649327,0.03004979999968782,0.047132300000157556,2008-02-13 09:15:00,2025-06-26 09:15:00,4189 days 00:00:00,100000.0,234452.720436,134.45272,47.687343,100.0,3258.388044,50.799052,2125 days 00:00:00,13.0,13.0,0.0,0.0,46.153846,48.563802,-17.861395,37.448709,-13.873901,48 days 20:00:00,20 days 10:17:08,2.141569,10342.516957,0.41182,0.151716,1.218665,0.758771
COROMANDEL,Success,0.008278100000097766,0.008648299999549636,0.0005997999996907311,0.030020299999705458,0.0477379000003566,2009-10-12 09:15:00,2025-06-26 09:15:00,3886 days 00:00:00,100000.0,122118.924921,22.118925,2030.0,100.0,3329.913159,37.549915,1832 days 00:00:00,12.0,12.0,0.0,0.0,33.333333,34.725722,-12.150028,23.933698,-7.80096,56 days 00:00:00,18 days 00:00:00,1.239008,1843.243743,0.209126,0.050456,1.094213,0.317482
COSMOFIRST,Success,0.010412699999506003,0.007843599999432627,0.000704799999766692,0.031443299999409646,0.0506018000005497,1999-01-01 09:15:00,2025-06-26 09:15:00,6525 days 00:00:00,100000.0,651007.210142,551.00721,35172.727273,100.0,13798.074435,54.28041,2329 days 00:00:00,21.0,21.0,0.0,0.0,47.619048,63.774577,-19.437642,41.723939,-13.176118,69 days 19:12:00,32 days 02:10:54,2.163344,26238.438578,0.559079,0.203537,1.256215,1.002336
COUNCODOS,Success,0.005428699999356468,0.007970399999976507,0.000557200000002922,0.03025069999966945,0.04439619999993738,2012-08-31 09:15:00,2025-06-26 09:15:00,2953 days 00:00:00,100000.0,180499.559017,80.499559,464.0,100.0,2207.607426,29.881744,1440 days 00:00:00,9.0,8.0,1.0,-14470.882632,50.0,47.604296,-15.085015,37.416513,-13.897085,20 days 00:00:00,7 days 18:00:00,2.34382,11871.305206,0.516042,0.253416,1.380652,0.948092
CPCAP,Success,0.010315000000446162,0.008495899999616086,0.000649399999929301,0.02996019999955024,0.04961340000045311,2011-11-16 09:15:00,2025-06-26 09:15:00,3365 days 00:00:00,100000.0,74771.692919,-25.228307,-1.639747,100.0,1260.402383,42.319012,2698 days 00:00:00,8.0,8.0,0.0,0.0,25.0,30.796195,-20.163187,28.590451,-12.288262,65 days 12:00:00,22 days 08:00:00,0.59979,-3153.538385,-0.108857,-0.073356,0.943028,-0.153622
CRAFTSMAN,Success,0.0033206999996764353,0.00844390000020212,0.0004778000002261251,0.029161999999814725,0.04159799999979441,2021-03-25 09:15:00,2025-06-26 09:15:00,1055 days 00:00:00,100000.0,91602.035387,-8.397965,281.16467,100.0,856.165043,25.238743,892 days 00:00:00,4.0,4.0,0.0,0.0,25.0,22.548604,-10.565328,22.548604,-9.240772,29 days 00:00:00,10 days 00:00:00,0.728433,-2099.491153,-0.26071,-0.118435,0.827451,-0.396457
CREATIVE,Success,0.004151899999669695,0.008062900000368245,0.0005049000001235981,0.03139439999995375,0.04434270000001561,2019-08-05 09:15:00,2025-06-26 09:15:00,1456 days 00:00:00,100000.0,119204.239358,19.204239,931.019248,100.0,1278.520203,38.184218,804 days 00:00:00,6.0,6.0,0.0,0.0,33.333333,47.346751,-13.446858,38.096225,-10.967201,26 days 12:00:00,46 days 00:00:00,1.390683,3200.70656,0.303263,0.117907,1.10708,0.491571
CREATIVEYE,Success,0.008732600000257662,0.008240499999374151,0.0006217000000106054,0.030574200000046403,0.04836390000036772,2000-12-20 09:15:00,2025-06-26 09:15:00,4696 days 00:00:00,100000.0,97910.144066,-2.089856,-84.27457,100.0,2063.131303,51.429755,4404 days 00:00:00,12.0,12.0,0.0,0.0,33.333333,58.292553,-28.890836,39.346016,-15.106629,52 days 06:00:00,21 days 18:00:00,0.981033,-174.154661,0.107613,-0.003189,1.056183,0.175533
CREDITACC,Success,0.00456430000031105,0.008046899999499146,0.0007204000003184774,0.03214680000019143,0.04568329999983689,2018-08-23 09:15:00,2025-06-26 09:15:00,1694 days 00:00:00,100000.0,123316.985439,23.316985,181.151529,100.0,860.585097,22.235859,1312 days 00:00:00,4.0,4.0,0.0,0.0,50.0,32.871868,-18.075378,27.192267,-12.416765,23 days 12:00:00,1 days 12:00:00,1.800745,5829.24636,0.4646,0.207747,1.527709,0.624048
CREST,Success,0.005522999999811873,0.009508899999673304,0.0006425000001399894,0.032032000000072,0.047901899999487796,2014-10-31 09:15:00,2025-06-26 09:15:00,2582 days 00:00:00,100000.0,77295.727293,-22.704273,753.779442,100.0,795.122432,38.378848,1838 days 00:00:00,5.0,5.0,0.0,0.0,20.0,43.18193,-20.132795,43.18193,-14.219725,18 days 00:00:00,12 days 18:00:00,0.539345,-4540.854541,-0.330343,-0.093152,0.777941,-0.458753
CRISIL,Success,0.011300199999823235,0.009675199999946926,0.0007420000001729932,0.03611449999971228,0.05803800000012416,1999-01-01 09:15:00,2025-06-26 09:15:00,6506 days 00:00:00,100000.0,295351.595657,195.351596,13477.625571,100.0,4426.653725,24.885568,1238 days 00:00:00,13.0,13.0,0.0,0.0,53.846154,34.04321,-15.074057,25.572442,-7.976727,118 days 10:17:08,12 days 04:00:00,3.589116,15027.04582,0.493608,0.25172,1.219739,0.8018
CROMPTON,Success,0.0049566000006961985,0.009895000000142318,0.0011598000000958564,0.03178179999940767,0.04799220000040805,2016-05-13 09:15:00,2025-06-26 09:15:00,2260 days 00:00:00,100000.0,83078.929686,-16.92107,164.119601,100.0,1107.650484,25.971757,1064 days 00:00:00,6.0,6.0,0.0,0.0,16.666667,18.325877,-8.196938,18.325877,-6.827574,44 days 00:00:00,10 days 19:12:00,0.482136,-2820.178386,-0.286668,-0.113569,0.822992,-0.409538
CROWN,Success,0.0030314000005091657,0.008825800000522577,0.00047479999921051785,0.02912099999957718,0.04164849999961007,2016-09-27 09:15:00,2025-06-26 09:15:00,1060 days 00:00:00,100000.0,104450.21912,4.450219,74.220183,100.0,450.533606,25.049664,226 days 00:00:00,2.0,2.0,0.0,0.0,50.0,23.062282,-15.123315,23.062282,-15.123315,33 days 00:00:00,35 days 00:00:00,1.2394,2225.10956,0.179276,0.060303,1.085099,0.260453
CSBBANK,Success,0.0032657000001563574,0.008629400000245369,0.0005195000003368477,0.030554700000720914,0.043161399999917194,2019-12-04 09:15:00,2025-06-26 09:15:00,1383 days 00:00:00,100000.0,122527.605884,22.527606,31.04483,100.0,876.402522,11.595837,493 days 00:00:00,4.0,4.0,0.0,0.0,50.0,23.257559,-9.483949,20.127842,-7.800462,41 days 00:00:00,4 days 12:00:00,2.291032,5631.901471,0.659578,0.475024,1.428245,1.109971
CSLFINANCE,Success,0.0024911999998948886,0.008392400000047928,0.0006646000001637731,0.03216789999987668,0.04390479999983654,2022-07-21 09:15:00,2025-06-26 09:15:00,727 days 00:00:00,100000.0,100000.0,0.0,45.357461,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,inf,,inf,inf
CTE,Success,0.008408899999267305,0.008653699999740638,0.0009146000002147048,0.03358219999972789,0.051845699999830686,2007-02-07 09:15:00,2025-06-26 09:15:00,4311 days 00:00:00,100000.0,71903.450562,-28.096549,-55.500496,100.0,1844.03101,55.885807,2327 days 00:00:00,10.0,10.0,0.0,0.0,20.0,48.14324,-18.095503,43.593878,-12.248546,44 days 12:00:00,25 days 09:00:00,0.698359,-2809.654944,-0.112885,-0.04928,0.942269,-0.18017
CUB,Success,0.010732099999586353,0.008517899999787915,0.0009762999998201849,0.03267420000065613,0.05316489999950136,1999-01-01 09:15:00,2025-06-26 09:15:00,6490 days 00:00:00,100000.0,58294.034018,-41.705966,19985.344846,100.0,2196.471571,57.486684,5642 days 00:00:00,18.0,18.0,0.0,0.0,22.222222,34.494867,-18.720514,25.551303,-9.725389,60 days 00:00:00,23 days 03:25:42,0.54973,-2316.99811,-0.158768,-0.052004,0.915043,-0.210164
CUBEXTUB,Success,0.00803619999987859,0.009546500000396918,0.0006605000007766648,0.03794850000031147,0.056397099999230704,1999-01-01 09:15:00,2025-06-26 09:15:00,3817 days 00:00:00,100000.0,491268.056455,391.268056,6961.333333,100.0,7510.0163,46.230097,1130 days 00:00:00,14.0,14.0,0.0,0.0,57.142857,51.701357,-38.357256,40.449413,-16.156607,37 days 12:00:00,11 days 08:00:00,2.514585,27947.718318,0.686594,0.355642,1.412562,1.058193
